Time,Input,Response,Error
datetime,float,float,float
T,,,
01/25/19 03:0,-0.063,0.081,0.018000000000000002
01/26/19 19:0,-0.058,0.081,0.023
01/28/19 12:0,-0.051,0.081,0.030000000000000006
01/30/19 03:0,-0.044,0.081,0.037000000000000005
01/31/19 19:0,-0.035,0.087,0.05199999999999999
02/02/19 12:0,-0.027,0.052,0.024999999999999998
02/04/19 03:0,-0.018,0.041,0.023000000000000003
02/05/19 19:0,-0.01,0.058,0.048
02/07/19 12:0,-0.003,0.041,0.038
02/09/19 03:0,0.003,0.023,0.026
02/10/19 19:0,0.007,0.0,0.007
02/12/19 12:0,0.01,-0.017,-0.007000000000000001
02/14/19 03:0,0.01,-0.029,-0.019000000000000003
02/15/19 19:0,0.009,-0.035,-0.026000000000000002
02/17/19 12:0,0.006,-0.047,-0.041
02/19/19 03:0,0.002,-0.047,-0.045
02/20/19 19:0,-0.004,-0.047,-0.051000000000000004
02/22/19 12:0,-0.011,-0.052,-0.063
