Time,Input,Response
datetime,float,float
T,,
06/12/19 20:0,0.05,-0.124
06/14/19 12:0,0.054,-0.124
06/16/19 03:0,0.057,-0.118
06/17/19 20:0,0.065,-0.235
06/19/19 12:0,0.066,-0.1
06/21/19 03:0,0.067,-0.094
06/22/19 20:0,0.068,-0.088
06/24/19 12:0,0.069,-0.076
06/26/19 03:0,0.071,-0.071
06/27/19 20:0,0.088,-0.359
06/29/19 12:0,0.089,-0.018
07/01/19 03:0,0.088,0.059
07/02/19 20:0,0.09,0.0
07/04/19 12:0,0.094,-0.012
07/06/19 03:0,0.098,-0.024
07/07/19 20:0,0.113,-0.212
07/09/19 12:0,0.118,-0.029
07/11/19 03:0,0.121,-0.018
07/12/19 20:0,0.124,-0.024
07/14/19 12:0,0.126,-0.024
07/16/19 03:0,0.126,-0.035
07/17/19 20:0,0.129,-0.112
07/19/19 12:0,0.12,0.053
07/21/19 03:0,0.109,0.076
07/22/19 20:0,0.097,0.053
07/24/19 12:0,0.083,0.035
07/26/19 03:0,0.079,-0.176
07/27/19 20:0,0.063,0.018
07/29/19 12:0,0.047,0.012
07/31/19 03:0,0.029,0.041
08/01/19 20:0,0.012,0.041
08/03/19 12:0,-0.005,0.041
